day,node_id,node_name,population,susceptible,latent,infectious_a,infectious_t,infectious_nt,recovered,foi,exit_rate
0,n85,Kauhajoki,13500,13500,0,0,0,0,0,5e-08,0.503196
0,n86,Kauhava,16600,16600,0,0,0,0,0,0.0,0.524201
0,n87,Kauniainen,9800,9800,0,0,0,0,0,0.0,0.834703
0,n88,Kaustinen,4300,4300,0,0,0,0,0,0.0,0.188128
0,n89,Keitele,2200,2200,0,0,0,0,0,0.0,0.081279
0,n90,Kemi,20800,20800,0,0,0,0,0,0.0,0.881279
0,n91,Kemij�rvi,7200,7200,0,0,0,0,0,0.0,0.269406
0,n92,Keminmaa,8500,8500,0,0,0,0,0,6e-08,0.407306
0,n93,Kempele,18300,18300,0,0,0,0,0,0.0,1.142466
0,n94,Kerava,36500,36500,0,0,0,0,0,5e-08,2.784475
0,n95,Keuruu,9800,9800,0,0,0,0,0,5e-08,0.382648
0,n96,Kihni�,1900,1900,0,0,0,0,0,0.0,0.071233
0,n97,Kimito�n,6700,6700,0,0,0,0,0,0.0,0.27032
0,n98,Kinnula,1600,1600,0,0,0,0,0,0.0,0.055708
0,n99,Kirkkonummi,40400,40400,0,0,0,0,0,2e-08,2.582648
0,n100,Kitee,10200,10200,0,0,0,0,0,0.0,0.361644
0,n101,Kittil�,6600,6600,0,0,0,0,0,4e-08,0.534247
0,n102,Kiuruvesi,8200,8200,0,0,0,0,0,0.0,0.263927
0,n103,Kivij�rvi,1200,1200,0,0,0,0,0,0.0,0.050228
0,n104,Kokem�ki,7600,7600,0,0,0,0,0,0.0,0.293151
0,n105,Kokkola,48000,48000,0,0,0,0,0,7e-08,1.454795
0,n106,Kolari,3800,3800,0,0,0,0,0,1e-07,0.263014
0,n107,Konnevesi,2700,2700,0,0,0,0,0,0.0,0.09589
0,n108,Kontiolahti,15000,15000,0,0,0,0,0,0.0,0.874886
0,n109,Korsholm,19700,19700,0,0,0,0,0,0.0,0.594521
0,n110,Korsn�s,2100,2100,0,0,0,0,0,0.0,0.055708
0,n111,Koski Tl,2300,2300,0,0,0,0,0,0.0,0.09589
0,n112,Kotka,51700,51700,0,0,0,0,0,1e-08,1.955251
0,n113,Kouvola,80100,80100,0,0,0,0,0,8e-08,2.276712
0,n114,Kristinestad,6700,6700,0,0,0,0,0,0.0,0.251142
0,n115,Kronoby,6600,6600,0,0,0,0,0,0.0,0.217352
0,n116,Kuhmo,8100,8100,0,0,0,0,0,0.0,0.208219
0,n117,Kuhmoinen,2200,2200,0,0,0,0,0,0.0,0.084018
